group1,group2,meandiff,p-adj,lower,upper,reject
AUDITORIA INTERNA DE LA U.A.N.L.,FAC. DE CIENCIAS BIOLOGICAS,5381.3678,0.0,4538.7193,6224.0164,True
AUDITORIA INTERNA DE LA U.A.N.L.,FAC. DE CIENCIAS DE LA COMUNICACION,2283.7093,0.0,1377.5308,3189.8878,True
AUDITORIA INTERNA DE LA U.A.N.L.,FAC. DE CIENCIAS DE LA TIERRA,7275.7928,0.0,6197.8467,8353.7389,True
AUDITORIA INTERNA DE LA U.A.N.L.,FAC. DE CIENCIAS FISICO-MATEMATICAS,4395.5529,0.0,3527.9106,5263.1951,True
AUDITORIA INTERNA DE LA U.A.N.L.,FAC. DE CIENCIAS FORESTALES,3808.6365,0.0,2810.6927,4806.5802,True
AUDITORIA INTERNA DE LA U.A.N.L.,FAC. DE CIENCIAS QUIMICAS,3404.3942,0.0,2562.8222,4245.9662,True
AUDITORIA INTERNA DE LA U.A.N.L.,FAC. DE CONTADURIA PUBLICA Y ADMON.,1758.3756,0.0,928.9507,2587.8004,True
AUDITORIA INTERNA DE LA U.A.N.L.,FAC. DE ECONOMIA,5233.8963,0.0,4163.6817,6304.111,True
AUDITORIA INTERNA DE LA U.A.N.L.,FAC. DE ENFERMERIA,2778.3142,0.0,1823.955,3732.6734,True
AUDITORIA INTERNA DE LA U.A.N.L.,FAC. DE FILOSOFIA Y LETRAS,1854.7767,0.0,992.0772,2717.4763,True
AUDITORIA INTERNA DE LA U.A.N.L.,FAC. DE ING. CIVIL,2158.1109,0.0,1261.1614,3055.0604,True
AUDITORIA INTERNA DE LA U.A.N.L.,FAC. DE ING. MECANICA Y ELECTRICA,7486.2339,0.0,6678.0978,8294.37,True
AUDITORIA INTERNA DE LA U.A.N.L.,FAC. DE MED. VETERINARIA Y ZOOT.,2481.3597,0.0,1512.1213,3450.598,True
AUDITORIA INTERNA DE LA U.A.N.L.,FAC. DE MEDICINA,5337.041,0.0,4528.2796,6145.8024,True
AUDITORIA INTERNA DE LA U.A.N.L.,FAC. DE MUSICA,39.3333,1.0,-976.0369,1054.7036,False
AUDITORIA INTERNA DE LA U.A.N.L.,FAC. DE ODONTOLOGIA,3760.9206,0.0,2857.5213,4664.32,True
AUDITORIA INTERNA DE LA U.A.N.L.,FAC. DE ORGANIZACION DEPORTIVA,1597.9413,0.0,692.9624,2502.9202,True
AUDITORIA INTERNA DE LA U.A.N.L.,FAC. DE PSICOLOGIA,1732.9004,0.0,840.9743,2624.8265,True
AUDITORIA INTERNA DE LA U.A.N.L.,FACULTAD DE CIENCIAS POLÍTICAS Y RELACIONES INTERNACIONALES,2850.9858,0.0,1953.9161,3748.0556,True
AUDITORIA INTERNA DE LA U.A.N.L.,FACULTAD DE DERECHO Y CRIMINOLOGIA,1087.2097,0.0001,243.9594,1930.46,True
AUDITORIA INTERNA DE LA U.A.N.L.,FACULTAD DE SALUD PUBLICA Y NUTRICION,794.2045,0.3794,-130.8872,1719.2961,False
AUDITORIA INTERNA DE LA U.A.N.L.,FACULTAD DE TRABAJO SOCIAL Y DESARROLLO HUMANO,3580.5173,0.0,2615.1069,4545.9277,True
AUDITORIA INTERNA DE LA U.A.N.L.,GIMNASIO DE AREA MEDICA,-2655.2109,0.0,-4202.0082,-1108.4137,True
AUDITORIA INTERNA DE LA U.A.N.L.,HOSPITAL UNIVERSITARIO,-3362.1087,0.0,-4150.6388,-2573.5786,True
AUDITORIA INTERNA DE LA U.A.N.L.,IMAGEN INSTITUCIONAL,151.5812,1.0,-1935.1172,2238.2795,False
AUDITORIA INTERNA DE LA U.A.N.L.,IMPRENTA UNIVERSITARIA,-3759.0218,0.0,-5420.5382,-2097.5055,True
AUDITORIA INTERNA DE LA U.A.N.L.,INST. DE INVESTIGACIONES SOCIALES,7872.2669,0.0,6509.7182,9234.8156,True
AUDITORIA INTERNA DE LA U.A.N.L.,JUNTA DE GOBIERNO,-3561.3658,0.0343,-7049.5196,-73.2121,True
AUDITORIA INTERNA DE LA U.A.N.L.,LIBRERIA UNIVERSITARIA,-2959.4452,0.0,-4080.5626,-1838.3278,True
AUDITORIA INTERNA DE LA U.A.N.L.,OFICINA DE LA ABOGACÍA GENERAL,3392.929,0.0,2173.9124,4611.9456,True
AUDITORIA INTERNA DE LA U.A.N.L.,ORQUESTA SINFONICA,-1116.1679,0.0399,-2218.3019,-14.0338,True
AUDITORIA INTERNA DE LA U.A.N.L.,POLIDEPORTIVO TIGRES ESCOBEDO,-965.7372,0.9998,-2617.1713,685.697,False
AUDITORIA INTERNA DE LA U.A.N.L.,POLIDEPORTIVO TIGRES ´ESCOBEDO´,643.7645,1.0,-1524.2168,2811.7458,False
AUDITORIA INTERNA DE LA U.A.N.L.,RECTORIA,13060.59,0.0,11504.8857,14616.2943,True
AUDITORIA INTERNA DE LA U.A.N.L.,SECRETARIA ACADEMICA,-130.392,1.0,-1262.9298,1002.1458,False
AUDITORIA INTERNA DE LA U.A.N.L.,SECRETARIA DE DESARROLLO AGROPECUARIO,5079.0444,0.0,2594.8589,7563.2299,True
AUDITORIA INTERNA DE LA U.A.N.L.,SECRETARIA DE EXT.Y CULTURA,-288.7043,1.0,-1437.0738,859.6652,False
AUDITORIA INTERNA DE LA U.A.N.L.,SECRETARIA DE RELACIONES INTERNACIONALES,1847.9641,0.5507,-408.5017,4104.4299,False
AUDITORIA INTERNA DE LA U.A.N.L.,SECRETARIA DE SUSTENTABILIDAD,8823.8154,0.0,7338.4584,10309.1724,True
AUDITORIA INTERNA DE LA U.A.N.L.,SECRETARIA GENERAL,4650.7996,0.0,3345.8628,5955.7363,True
AUDITORIA INTERNA DE LA U.A.N.L.,SECRETARÍA DE IGUALDAD E INCLUSIÓN,-213.089,1.0,-8520.2397,8094.0617,False
AUDITORIA INTERNA DE LA U.A.N.L.,SECRETARÍA DE INNOVACIÓN Y DESARROLLO DIGITAL,4806.539,0.0,2579.2618,7033.8162,True
AUDITORIA INTERNA DE LA U.A.N.L.,SRIA. DE INVESTIGACIÓN CIENTÍFICA Y DESARROLLO TECNOLÓGICO,4645.3411,0.0,2332.1376,6958.5445,True
AUDITORIA INTERNA DE LA U.A.N.L.,TEATRO UNIVERSITARIO,-2120.2151,0.0,-3567.4835,-672.9467,True
AUDITORIA INTERNA DE LA U.A.N.L.,TESORERIA GENERAL,3231.0015,0.0,2144.616,4317.387,True
AUDITORIA INTERNA DE LA U.A.N.L.,UNIDAD DE TRANSPARENCIA,2941.959,0.0003,579.5544,5304.3636,True
AUDITORIA INTERNA DE LA U.A.N.L.,WORLD TRADE CENTER MONTEREY-UANL,2717.6483,0.9983,-1671.1398,7106.4364,False
